product_id,category,sub_category,product_name,unit_price,cost_price
P001,Technology,Phones,Smartphone A,18000,13500
P002,Technology,Phones,Smartphone B,24000,18500
P003,Technology,Accessories,Wireless Mouse,900,520
P004,Technology,Accessories,Bluetooth Speaker,2200,1500
P005,Technology,Laptops,Business Laptop,52000,43000
P006,Furniture,Chairs,Office Chair,6500,4500
P007,Furniture,Tables,Study Table,8200,5900
P008,Furniture,Storage,Bookshelf,7200,5100
P009,Furniture,Furnishings,Desk Lamp,1500,900
P010,Furniture,Chairs,Ergo Chair,11500,8500
P011,Office Supplies,Paper,A4 Paper Pack,350,210
P012,Office Supplies,Binders,File Binder,180,95
P013,Office Supplies,Pens,Gel Pen Box,240,130
P014,Office Supplies,Storage,Desk Organizer,650,390
P015,Office Supplies,Art,Marker Set,480,300
